sample	cnv	accession	n_cnvs	total_size	coverage_percent	span_percent	size_smallest	size_largest	std_regions_size	norm_depth_mean	norm_depth_median	smooth_depth_mean	smooth_depth_median	chrom_depth	chrom_norm_depth	genome_depth	chromosome	length	lineage	chrom_category_aneuploidy	chrom_category_size	strain	source	dataset	vni_subdivision	samples_in_dataset_lineage	samples_in_lineage	samples_in_sublineage	samples_in_lineage_source	total_samples
SRS881221	deletion	chr09	6	30630	2.63	100	500	13000	4578.44	0.25	0.12	0.16	0.2	52.55	1.06	49.45	chr09	1163630	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr10	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	54.06	1.09	49.45	chr10	1065964	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr10	3	12464	1.17	100	1000	7464	3234.77	0.42	0.01	0.08	0.01	54.06	1.09	49.45	chr10	1065964	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr11	2	3500	0.17	44.17	1000	2500	1060.66	2.34	1.84	1.89	1.84	44.74	0.9	49.45	chr11	2037688	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr11	5	39688	1.95	100	4188	12500	4039.24	0.29	0.08	0.14	0.14	44.74	0.9	49.45	chr11	2037688	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr12	1	1500	0.19	0.19	1500	1500	NA	1.63	1.62	1.62	1.62	55.9	1.13	49.45	chr12	782508	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr12	4	50008	6.39	100	5008	21000	7513.99	0.25	0.11	0.16	0.17	55.9	1.13	49.45	chr12	782508	VNBI	Euploid	Small	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr13	3	6500	0.83	1.54	2000	2500	288.68	1.22	0.56	1.85	1.85	55.58	1.12	49.45	chr13	778629	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr13	4	58629	7.53	100	1000	36500	15906.55	0.31	0.12	0.16	0.15	55.58	1.12	49.45	chr13	778629	VNBI	Euploid	Small	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr14	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	54.03	1.09	49.45	chr14	938179	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr14	5	33179	3.54	100	3179	13500	4075.44	0.17	0.01	0.12	0.01	54.03	1.09	49.45	chr14	938179	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr01	1	2000	0.09	0.09	2000	2000	NA	4.92	5.54	2.59	2.59	38.46	0.85	45.15	chr01	2281270	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr01	3	25500	1.12	87.34	6500	9500	1732.05	0.07	0	0.03	0.01	38.46	0.85	45.15	chr01	2281270	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr02	2	18500	1.08	99.74	8000	10500	1767.77	2.33	1.85	2.27	1.73	38.76	0.86	45.15	chr02	1712483	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr02	2	119983	7.01	84.82	2983	117000	80622.19	0.04	0	0	0	38.76	0.86	45.15	chr02	1712483	VNBI	Euploid	Small	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr03	1	18000	1.69	1.69	18000	18000	NA	1.71	1.72	1.7	1.66	49.71	1.1	45.15	chr03	1067780	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr03	3	21280	1.99	100	3280	14000	5992.17	0.2	0.08	0.15	0.16	49.71	1.1	45.15	chr03	1067780	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr04	4	10000	0.94	97.1	500	4500	2041.24	1.64	1.65	1.63	1.63	48.11	1.07	45.15	chr04	1062799	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr04	4	36299	3.42	100	4500	14000	3884.5	0.06	0	0.05	0	48.11	1.07	45.15	chr04	1062799	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr05	1	4000	0.22	0.22	4000	4000	NA	1.7	1.7	1.65	1.65	41.67	0.92	45.15	chr05	1799688	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr05	5	141688	7.87	100	9000	59000	18496.35	0.17	0	0.08	0.01	41.67	0.92	45.15	chr05	1799688	VNBI	Euploid	Small	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr06	2	21500	1.47	1.95	7000	14500	5303.3	1.67	1.68	1.69	1.67	45.85	1.02	45.15	chr06	1465104	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr06	6	52104	3.56	100	500	20500	6938.06	0.13	0.02	0.08	0.03	45.85	1.02	45.15	chr06	1465104	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr07	1	4500	0.31	0.31	4500	4500	NA	4.25	4.46	3.09	3.14	44.74	0.99	45.15	chr07	1432555	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr07	6	80055	5.59	100	1500	44000	15918.03	0.15	0	0.04	0	44.74	0.99	45.15	chr07	1432555	VNBI	Euploid	Small	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr08	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	45.74	1.01	45.15	chr08	1385770	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr08	5	60770	4.39	100	3500	22500	7013.99	0.12	0	0.06	0	45.74	1.01	45.15	chr08	1385770	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr09	2	25000	2.15	98.01	9500	15500	4242.64	1.69	1.68	1.69	1.69	49.64	1.1	45.15	chr09	1163630	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr09	3	25630	2.2	100	4130	13500	4708.57	0.29	0.06	0.07	0.03	49.64	1.1	45.15	chr09	1163630	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr10	3	14000	1.31	1.45	500	10500	5204.16	1.65	1.64	1.67	1.66	48.08	1.06	45.15	chr10	1065964	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr10	4	18464	1.73	100	1000	13000	5708.75	0.37	0.03	0.06	0.01	48.08	1.06	45.15	chr10	1065964	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr11	1	5500	0.27	0.27	5500	5500	NA	1.62	1.63	1.62	1.61	41.35	0.92	45.15	chr11	2037688	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr11	5	47688	2.34	100	4188	19000	6040.7	0.25	0.02	0.1	0.04	41.35	0.92	45.15	chr11	2037688	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr12	4	27500	3.51	97.32	500	14000	6420.99	1.66	1.64	1.64	1.64	50.36	1.12	45.15	chr12	782508	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr12	3	20508	2.62	100	5000	10500	3173.12	0.11	0	0.06	0.02	50.36	1.12	45.15	chr12	782508	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr13	1	3000	0.39	0.39	3000	3000	NA	5.71	5.3	4.7	4.7	49.74	1.1	45.15	chr13	778629	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr13	6	34129	4.38	100	1000	17629	6162.79	0.52	0.11	0.14	0.08	49.74	1.1	45.15	chr13	778629	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	duplication	chr14	1	16500	1.76	1.76	16500	16500	NA	1.7	1.7	1.7	1.7	48.89	1.08	45.15	chr14	938179	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881219	deletion	chr14	4	20179	2.15	100	3179	7500	1898.07	0.04	0	0.03	0	48.89	1.08	45.15	chr14	938179	VNBI	Euploid	Absent	Ftc151-1	Environmental	Desjardins		120	120	198	71	1016
SRS881161	duplication	CP097938.1_R	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	35.89	0.92	39.03	chr01	2336104	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097938.1_R	5	99104	4.24	100	4500	49500	17501.93	0.22	0.01	0.09	0.01	35.89	0.92	39.03	chr01	2336104	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097939.1	1	6000	0.37	0.37	6000	6000	NA	1.73	1.74	1.7	1.71	36.69	0.94	39.03	chr02	1602777	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097939.1	7	99777	6.23	100	1000	58000	19973.34	0.39	0	0.03	0	36.69	0.94	39.03	chr02	1602777	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097940.1	2	13500	1.22	79.46	6500	7000	353.55	2.23	1.95	2.05	1.8	40.57	1.04	39.03	chr03	1103056	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097940.1	4	72556	6.58	100	10000	42556	16278	0.07	0	0.01	0	40.57	1.04	39.03	chr03	1103056	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097941.1	1	9500	0.87	0.87	9500	9500	NA	1.7	1.69	1.68	1.68	40.89	1.05	39.03	chr04	1094164	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097941.1	3	61664	5.64	100	17164	25000	4023.05	0.15	0	0.05	0	40.89	1.05	39.03	chr04	1094164	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097942.1	5	16500	0.9	47.52	500	7000	3383.78	2.26	1.81	2.03	1.65	36.85	0.94	39.03	chr05	1834975	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097942.1	8	120475	6.57	100	500	58500	19228.13	0.14	0	0.08	0	36.85	0.94	39.03	chr05	1834975	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097943.1	2	14000	0.97	1.32	3000	11000	5656.85	1.69	1.69	1.67	1.67	39.76	1.02	39.03	chr06	1436071	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097943.1	3	41571	2.89	100	71	29000	14512.16	0.18	0.01	0.11	0.02	39.76	1.02	39.03	chr06	1436071	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097944.1_R	3	20500	1.46	98.65	2500	10500	4041.45	1.78	1.62	1.65	1.62	39.95	1.02	39.03	chr07	1403885	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097944.1_R	4	31885	2.27	100	3500	10000	3076.52	0.11	0	0.04	0	39.95	1.02	39.03	chr07	1403885	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097945.1_R	4	18000	1.3	95.91	1000	11000	4725.82	1.7	1.67	1.66	1.67	39.59	1.01	39.03	chr08	1382508	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097945.1_R	4	78008	5.64	100	9000	38000	12733.42	0.25	0.02	0.08	0.01	39.59	1.01	39.03	chr08	1382508	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097946.1	2	20500	1.72	97.9	8500	12000	2474.87	1.73	1.74	1.71	1.73	40.59	1.04	39.03	chr09	1189418	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097946.1	4	29000	2.44	71.51	500	16500	7123.9	0.32	0.08	0.14	0.07	40.59	1.04	39.03	chr09	1189418	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097947.1_R	6	26500	2.46	97.26	500	13500	5370.44	1.73	1.69	1.68	1.67	40.94	1.05	39.03	chr10	1078022	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097947.1_R	2	22522	2.09	99.91	7500	15022	5318.86	0.13	0	0.03	0	40.94	1.05	39.03	chr10	1078022	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097948.1_R	5	24500	1.17	97.93	1000	13500	5683.31	1.68	1.69	1.68	1.68	37.51	0.96	39.03	chr11	2090313	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097948.1_R	6	91813	4.39	100	6500	28500	7933.1	0.11	0	0.05	0	37.51	0.96	39.03	chr11	2090313	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097949.1_R	1	24000	3.11	3.11	24000	24000	NA	1.66	1.64	1.66	1.65	42.37	1.09	39.03	chr12	772085	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097949.1_R	3	42585	5.52	100	7500	24500	9056.71	0.23	0.09	0.15	0.17	42.37	1.09	39.03	chr12	772085	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097950.1	4	16000	2.16	96.88	2500	6000	1581.14	2	1.72	1.8	1.64	42.54	1.09	39.03	chr13	740623	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097950.1	5	49123	6.63	100	1623	21500	7284.75	0.27	0	0.07	0.03	42.54	1.09	39.03	chr13	740623	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	duplication	CP097951.1_R	6	28000	2.85	93.17	500	13500	5519.66	1.81	1.7	1.7	1.7	41.37	1.06	39.03	chr14	981499	VNBII	Euploid	Absent	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881161	deletion	CP097951.1_R	5	89999	9.17	100	4500	42000	15628.41	0.12	0	0.08	0	41.37	1.06	39.03	chr14	981499	VNBII	Euploid	Small	PMHc1052.ENR.STOR	Clinical	Desjardins		62	62	198	59	1016
SRS881245	duplication	chr01	1	10500	0.46	0.46	10500	10500	NA	1.92	1.95	1.9	1.93	112.97	0.88	128.915	chr01	2281270	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr01	6	38270	1.68	100	2000	10000	3435.81	0.2	0.01	0.12	0.06	112.97	0.88	128.915	chr01	2281270	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr02	2	15000	0.88	55.47	5500	9500	2828.43	2	1.74	1.84	1.7	111.42	0.86	128.915	chr02	1712483	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr02	5	140483	8.2	100	1000	117000	50082.57	0.06	0	0.02	0	111.42	0.86	128.915	chr02	1712483	VNBI	Euploid	Small	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr03	2	14500	1.36	96.56	5000	9500	3181.98	1.69	1.68	1.66	1.66	136.49	1.06	128.915	chr03	1067780	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr03	2	34280	3.21	100	2500	31780	20704.09	0.01	0	0.02	0	136.49	1.06	128.915	chr03	1067780	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr04	2	11500	1.08	97.24	2500	9000	4596.19	1.62	1.63	1.62	1.62	136.7	1.06	128.915	chr04	1062799	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr04	3	32299	3.04	100	8799	14500	3235.01	0.04	0	0.02	0	136.7	1.06	128.915	chr04	1062799	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr05	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	122.63	0.95	128.915	chr05	1799688	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr05	3	56188	3.12	100	7500	26500	9961.01	0.23	0.04	0.09	0.04	122.63	0.95	128.915	chr05	1799688	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr06	1	5000	0.34	0.34	5000	5000	NA	1.6	1.76	1.73	1.73	128.18	0.99	128.915	chr06	1465104	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr06	4	46104	3.15	100	5604	16500	4500.37	0.17	0.02	0.09	0.02	128.18	0.99	128.915	chr06	1465104	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr07	2	9000	0.63	57.03	4500	4500	0	3.72	3.31	3.38	3.16	128.72	1	128.915	chr07	1432555	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr07	4	79055	5.52	100	2500	62500	28616.02	0.13	0	0.05	0	128.72	1	128.915	chr07	1432555	VNBI	Euploid	Small	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr08	1	4000	0.29	0.29	4000	4000	NA	1.64	1.68	1.64	1.64	132.32	1.03	128.915	chr08	1385770	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr08	6	69770	5.03	100	4500	23000	6875.23	0.15	0	0.1	0.02	132.32	1.03	128.915	chr08	1385770	VNBI	Euploid	Small	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr09	1	5000	0.43	0.43	5000	5000	NA	1.63	1.67	1.64	1.64	134.46	1.04	128.915	chr09	1163630	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr09	4	35630	3.06	100	3630	13000	4074.42	0.23	0.12	0.15	0.15	134.46	1.04	128.915	chr09	1163630	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr10	1	10500	0.99	0.98	10500	10500	NA	1.67	1.66	1.65	1.66	135.13	1.05	128.915	chr10	1065964	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr10	2	11964	1.12	100	4500	7464	2095.86	0.34	0.04	0.1	0.04	135.13	1.05	128.915	chr10	1065964	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr11	1	5500	0.27	0.27	5500	5500	NA	2.78	3.13	1.84	1.94	117.56	0.91	128.915	chr11	2037688	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr11	2	19688	0.97	100	4188	15500	7998.79	0.19	0	0.06	0	117.56	0.91	128.915	chr11	2037688	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr12	2	17000	2.17	96.23	2500	14500	8485.28	1.66	1.66	1.66	1.66	141.05	1.09	128.915	chr12	782508	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr12	2	20008	2.56	100	6508	13500	4944.09	0.09	0	0.02	0	141.05	1.09	128.915	chr12	782508	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr13	1	6000	0.77	0.77	6000	6000	NA	1.63	1.67	1.64	1.62	142.88	1.11	128.915	chr13	778629	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr13	4	35129	4.51	100	5000	11129	2667.27	0.6	0.02	0.11	0.04	142.88	1.11	128.915	chr13	778629	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	duplication	chr14	2	13500	1.44	98.38	5000	8500	2474.87	1.63	1.64	1.64	1.61	138.59	1.08	128.915	chr14	938179	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881245	deletion	chr14	5	24679	2.63	100	3179	7500	1661.73	0.04	0	0.06	0.03	138.59	1.08	128.915	chr14	938179	VNBI	Euploid	Absent	Ftc134-3	Environmental	Desjardins		120	120	198	71	1016
SRS881171	duplication	chr01	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	39.93	0.87	45.84	chr01	2281270	VNBI	Euploid	Absent	Ftc173-1	Environmental	Desjardins		120	120	198	71	1016
SRS881171	deletion	chr01	6	43270	1.9	87.38	500	11000	4035.45	0.09	0	0.06	0	39.93	0.87	45.84	chr01	2281270	VNBI	Euploid	Absent	Ftc173-1	Environmental	Desjardins		120	120	198	71	1016
SRS881171	duplication	chr02	1	8000	0.47	0.47	8000	8000	NA	2.93	2.88	2.54	2.86	39.49	0.86	45.84	chr02	1712483	VNBI	Euploid	Absent	Ftc173-1	Environmental	Desjardins		120	120	198	71	1016
SRS881171	deletion	chr02	4	121483	7.09	100	500	117000	57762.79	0.04	0	0.01	0	39.49	0.86	45.84	chr02	1712483	VNBI	Euploid	Small	Ftc173-1	Environmental	Desjardins		120	120	198	71	1016
