sample	accession	chrom_mean	chrom_median	global_mean	global_median	global_mode	norm_chrom_mean	norm_chrom_median	norm_global_mean	norm_global_median
SRS417571	CP091252.1	105.26	105.0	108.9	106.0	106	0.99	0.99	1.03	1.0
SRS417571	CP091253.1	105.4	106.0	108.9	106.0	106	0.99	1.0	1.03	1.0
SRS417571	CP091254.1	110.14	111.0	108.9	106.0	106	1.04	1.05	1.03	1.0
SRS417571	CP091255.1	109.86	111.0	108.9	106.0	106	1.04	1.05	1.03	1.0
SRS417571	CP091256.1	109.88	110.0	108.9	106.0	106	1.04	1.04	1.03	1.0
SRS417571	CP091257.1	112.07	111.0	108.9	106.0	106	1.06	1.05	1.03	1.0
SRS417571	CP091258.1	110.5	113.0	108.9	106.0	106	1.04	1.07	1.03	1.0
SRS417571	CP091259.1	113.69	117.0	108.9	106.0	106	1.07	1.1	1.03	1.0
SRS417571	CP091260.1	209.94	217.0	108.9	106.0	106	1.98	2.05	1.03	1.0
SRS881177	chr01_Bt22	52.48	52.0	58.83	58.0	57	0.92	0.91	1.03	1.02
SRS881177	chr02_Bt22	50.84	49.0	58.83	58.0	57	0.89	0.86	1.03	1.02
SRS881177	chr03_Bt22	61.47	61.0	58.83	58.0	57	1.08	1.07	1.03	1.02
SRS881177	chr04_Bt22	64.59	63.0	58.83	58.0	57	1.13	1.11	1.03	1.02
SRS881177	chr05_Bt22	56.45	55.0	58.83	58.0	57	0.99	0.96	1.03	1.02
SRS881177	chr06_Bt22	57.05	57.0	58.83	58.0	57	1.0	1.0	1.03	1.02
SRS881177	chr07_Bt22	59.77	59.0	58.83	58.0	57	1.05	1.04	1.03	1.02
SRS881177	chr08_Bt22	60.11	59.0	58.83	58.0	57	1.05	1.04	1.03	1.02
SRS881177	chr09_Bt22	64.89	65.0	58.83	58.0	57	1.14	1.14	1.03	1.02
SRS881177	chr10_Bt22	62.06	61.0	58.83	58.0	57	1.09	1.07	1.03	1.02
SRS881177	chr11_Bt22	54.22	53.0	58.83	58.0	57	0.95	0.93	1.03	1.02
SRS881177	chr12_Bt22	69.81	68.0	58.83	58.0	57	1.22	1.19	1.03	1.02
SRS881177	chr13_Bt22	65.63	65.0	58.83	58.0	57	1.15	1.14	1.03	1.02
SRS881177	chr14_Bt22	66.88	66.0	58.83	58.0	57	1.17	1.16	1.03	1.02
SRS520173	CP003820.1	91.04	91.0	93.36	92.0	93	0.98	0.98	1.0	0.99
SRS520173	CP003821.1	106.21	91.0	93.36	92.0	93	1.14	0.98	1.0	0.99
SRS520173	CP003822.1	91.93	92.0	93.36	92.0	93	0.99	0.99	1.0	0.99
SRS520173	CP003823.1	91.65	93.0	93.36	92.0	93	0.99	1.0	1.0	0.99
SRS520173	CP003824.1	91.34	92.0	93.36	92.0	93	0.98	0.99	1.0	0.99
SRS520173	CP003825.1	91.77	93.0	93.36	92.0	93	0.99	1.0	1.0	0.99
SRS520173	CP003826.1	92.76	93.0	93.36	92.0	93	1.0	1.0	1.0	0.99
SRS520173	CP003827.1	91.75	93.0	93.36	92.0	93	0.99	1.0	1.0	0.99
SRS520173	CP003828.1	93.07	93.0	93.36	92.0	93	1.0	1.0	1.0	0.99
SRS520173	CP003829.1	93.36	94.0	93.36	92.0	93	1.0	1.01	1.0	0.99
SRS520173	CP003830.1	91.14	92.0	93.36	92.0	93	0.98	0.99	1.0	0.99
SRS520173	CP003831.1	97.79	94.0	93.36	92.0	93	1.05	1.01	1.0	0.99
SRS520173	CP003832.1	91.93	93.0	93.36	92.0	93	0.99	1.0	1.0	0.99
SRS520173	CP003833.2	92.42	93.0	93.36	92.0	93	0.99	1.0	1.0	0.99
SRS405132	CP003820.1	84.85	84.0	97.09	96.0	98	0.87	0.86	0.99	0.98
SRS405132	CP003821.1	110.98	96.0	97.09	96.0	98	1.13	0.98	0.99	0.98
SRS405132	CP003822.1	94.66	95.0	97.09	96.0	98	0.97	0.97	0.99	0.98
SRS405132	CP003823.1	97.46	98.0	97.09	96.0	98	0.99	1.0	0.99	0.98
SRS405132	CP003824.1	93.59	94.0	97.09	96.0	98	0.96	0.96	0.99	0.98
SRS405132	CP003825.1	97.47	98.0	97.09	96.0	98	0.99	1.0	0.99	0.98
SRS405132	CP003826.1	95.9	97.0	97.09	96.0	98	0.98	0.99	0.99	0.98
SRS405132	CP003827.1	98.64	100.0	97.09	96.0	98	1.01	1.02	0.99	0.98
SRS405132	CP003828.1	99.88	100.0	97.09	96.0	98	1.02	1.02	0.99	0.98
SRS405132	CP003829.1	98.54	99.0	97.09	96.0	98	1.01	1.01	0.99	0.98
SRS405132	CP003830.1	91.26	92.0	97.09	96.0	98	0.93	0.94	0.99	0.98
SRS405132	CP003831.1	109.33	106.0	97.09	96.0	98	1.12	1.08	0.99	0.98
SRS405132	CP003832.1	103.92	105.0	97.09	96.0	98	1.06	1.07	0.99	0.98
SRS405132	CP003833.2	101.49	103.0	97.09	96.0	98	1.04	1.05	0.99	0.98
SRS417575	CP003820.1	88.46	88.0	89.97	88.0	88	1.01	1.0	1.02	1.0
SRS417575	CP003821.1	107.44	87.0	89.97	88.0	88	1.22	0.99	1.02	1.0
SRS417575	CP003822.1	87.69	88.0	89.97	88.0	88	1.0	1.0	1.02	1.0
SRS417575	CP003823.1	87.84	89.0	89.97	88.0	88	1.0	1.01	1.02	1.0
SRS417575	CP003824.1	87.87	88.0	89.97	88.0	88	1.0	1.0	1.02	1.0
SRS417575	CP003825.1	88.32	89.0	89.97	88.0	88	1.0	1.01	1.02	1.0
SRS417575	CP003826.1	88.71	89.0	89.97	88.0	88	1.01	1.01	1.02	1.0
SRS417575	CP003827.1	88.32	89.0	89.97	88.0	88	1.0	1.01	1.02	1.0
SRS417575	CP003828.1	88.2	89.0	89.97	88.0	88	1.0	1.01	1.02	1.0
SRS417575	CP003829.1	89.16	89.0	89.97	88.0	88	1.01	1.01	1.02	1.0
SRS417575	CP003830.1	87.34	88.0	89.97	88.0	88	0.99	1.0	1.02	1.0
SRS417575	CP003831.1	92.54	89.0	89.97	88.0	88	1.05	1.01	1.02	1.0
SRS417575	CP003832.1	87.18	89.0	89.97	88.0	88	0.99	1.01	1.02	1.0
SRS417575	CP003833.2	88.2	89.0	89.97	88.0	88	1.0	1.01	1.02	1.0
SRS417586	CP003820.1	96.57	97.0	102.02	101.0	102	0.95	0.95	1.0	0.99
SRS417586	CP003821.1	109.86	95.0	102.02	101.0	102	1.08	0.93	1.0	0.99
SRS417586	CP003822.1	100.34	101.0	102.02	101.0	102	0.98	0.99	1.0	0.99
SRS417586	CP003823.1	102.23	103.0	102.02	101.0	102	1.0	1.01	1.0	0.99
SRS417586	CP003824.1	98.79	99.0	102.02	101.0	102	0.97	0.97	1.0	0.99
SRS417586	CP003825.1	101.87	103.0	102.02	101.0	102	1.0	1.01	1.0	0.99
SRS417586	CP003826.1	102.91	103.0	102.02	101.0	102	1.01	1.01	1.0	0.99
SRS417586	CP003827.1	100.68	102.0	102.02	101.0	102	0.99	1.0	1.0	0.99
SRS417586	CP003828.1	103.77	104.0	102.02	101.0	102	1.02	1.02	1.0	0.99
SRS417586	CP003829.1	103.43	104.0	102.02	101.0	102	1.01	1.02	1.0	0.99
SRS417586	CP003830.1	98.78	99.0	102.02	101.0	102	0.97	0.97	1.0	0.99
SRS417586	CP003831.1	110.13	108.0	102.02	101.0	102	1.08	1.06	1.0	0.99
SRS417586	CP003832.1	104.09	106.0	102.02	101.0	102	1.02	1.04	1.0	0.99
SRS417586	CP003833.2	104.61	105.0	102.02	101.0	102	1.03	1.03	1.0	0.99
SRS405098	CP003820.1	132.2	131.0	134.47	134.0	134	0.99	0.98	1.0	1.0
SRS405098	CP003821.1	148.2	131.0	134.47	134.0	134	1.11	0.98	1.0	1.0
SRS405098	CP003822.1	132.18	133.0	134.47	134.0	134	0.99	0.99	1.0	1.0
SRS405098	CP003823.1	134.67	137.0	134.47	134.0	134	1.0	1.02	1.0	1.0
SRS405098	CP003824.1	132.1	133.0	134.47	134.0	134	0.99	0.99	1.0	1.0
SRS405098	CP003825.1	132.46	134.0	134.47	134.0	134	0.99	1.0	1.0	1.0
SRS405098	CP003826.1	132.62	134.0	134.47	134.0	134	0.99	1.0	1.0	1.0
SRS405098	CP003827.1	132.6	134.0	134.47	134.0	134	0.99	1.0	1.0	1.0
SRS405098	CP003828.1	135.63	136.0	134.47	134.0	134	1.01	1.01	1.0	1.0
SRS405098	CP003829.1	134.81	135.0	134.47	134.0	134	1.01	1.01	1.0	1.0
SRS405098	CP003830.1	131.2	132.0	134.47	134.0	134	0.98	0.99	1.0	1.0
SRS405098	CP003831.1	138.48	136.0	134.47	134.0	134	1.03	1.01	1.0	1.0
SRS405098	CP003832.1	133.6	136.0	134.47	134.0	134	1.0	1.01	1.0	1.0
SRS405098	CP003833.2	134.27	135.0	134.47	134.0	134	1.0	1.01	1.0	1.0
SRS417676	CP003820.1	91.57	90.0	100.3	95.0	96	0.95	0.94	1.04	0.99
SRS417676	CP003821.1	115.3	92.0	100.3	95.0	96	1.2	0.96	1.04	0.99
SRS417676	CP003822.1	96.74	95.0	100.3	95.0	96	1.01	0.99	1.04	0.99
SRS417676	CP003823.1	113.69	99.0	100.3	95.0	96	1.18	1.03	1.04	0.99
SRS417676	CP003824.1	92.38	93.0	100.3	95.0	96	0.96	0.97	1.04	0.99
SRS417676	CP003825.1	95.39	96.0	100.3	95.0	96	0.99	1.0	1.04	0.99
SRS417676	CP003826.1	96.49	97.0	100.3	95.0	96	1.01	1.01	1.04	0.99
SRS417676	CP003827.1	94.44	96.0	100.3	95.0	96	0.98	1.0	1.04	0.99
SRS417676	CP003828.1	129.42	100.0	100.3	95.0	96	1.35	1.04	1.04	0.99
SRS417676	CP003829.1	99.35	98.0	100.3	95.0	96	1.03	1.02	1.04	0.99
SRS417676	CP003830.1	93.25	94.0	100.3	95.0	96	0.97	0.98	1.04	0.99
SRS417676	CP003831.1	102.65	101.0	100.3	95.0	96	1.07	1.05	1.04	0.99
SRS417676	CP003832.1	99.21	100.0	100.3	95.0	96	1.03	1.04	1.04	0.99
SRS417676	CP003833.2	98.94	99.0	100.3	95.0	96	1.03	1.03	1.04	0.99
SRS405114	CP003820.1	107.96	107.0	112.3	111.0	111	0.97	0.96	1.01	1.0
SRS405114	CP003821.1	127.97	106.0	112.3	111.0	111	1.15	0.95	1.01	1.0
SRS405114	CP003822.1	108.94	110.0	112.3	111.0	111	0.98	0.99	1.01	1.0
SRS405114	CP003823.1	112.59	114.0	112.3	111.0	111	1.01	1.03	1.01	1.0
SRS405114	CP003824.1	107.81	109.0	112.3	111.0	111	0.97	0.98	1.01	1.0
SRS405114	CP003825.1	110.01	111.0	112.3	111.0	111	0.99	1.0	1.01	1.0
SRS405114	CP003826.1	113.82	114.0	112.3	111.0	111	1.03	1.03	1.01	1.0
SRS405114	CP003827.1	111.19	112.0	112.3	111.0	111	1.0	1.01	1.01	1.0
SRS405114	CP003828.1	113.46	114.0	112.3	111.0	111	1.02	1.03	1.01	1.0
SRS405114	CP003829.1	111.7	113.0	112.3	111.0	111	1.01	1.02	1.01	1.0
SRS405114	CP003830.1	105.94	107.0	112.3	111.0	111	0.95	0.96	1.01	1.0
SRS405114	CP003831.1	122.54	119.0	112.3	111.0	111	1.1	1.07	1.01	1.0
SRS405114	CP003832.1	112.53	115.0	112.3	111.0	111	1.01	1.04	1.01	1.0
SRS405114	CP003833.2	113.97	115.0	112.3	111.0	111	1.03	1.04	1.01	1.0
SRS417606	CP097924.1	150.12	152.0	168.15	163.0	162	0.93	0.94	1.04	1.01
SRS417606	CP097925.1	148.01	150.0	168.15	163.0	162	0.91	0.93	1.04	1.01
SRS417606	CP097926.1	171.43	172.0	168.15	163.0	162	1.06	1.06	1.04	1.01
SRS417606	CP097927.1	165.62	166.0	168.15	163.0	162	1.02	1.02	1.04	1.01
SRS417606	CP097928.1	156.28	159.0	168.15	163.0	162	0.96	0.98	1.04	1.01
SRS417606	CP097929.1	163.66	167.0	168.15	163.0	162	1.01	1.03	1.04	1.01
SRS417606	CP097930.1	158.79	161.0	168.15	163.0	162	0.98	0.99	1.04	1.01
SRS417606	CP097931.1	160.03	164.0	168.15	163.0	162	0.99	1.01	1.04	1.01
SRS417606	CP097932.1	310.72	322.0	168.15	163.0	162	1.92	1.99	1.04	1.01
SRS417606	CP097933.1	167.04	170.0	168.15	163.0	162	1.03	1.05	1.04	1.01
SRS417606	CP097934.1	151.81	153.0	168.15	163.0	162	0.94	0.94	1.04	1.01
SRS417606	CP097935.1	163.06	169.0	168.15	163.0	162	1.01	1.04	1.04	1.01
SRS417606	CP097936.1	169.72	174.0	168.15	163.0	162	1.05	1.07	1.04	1.01
SRS417606	CP097937.1	157.54	164.0	168.15	163.0	162	0.97	1.01	1.04	1.01
SRS881191	chr01_Bt22	65.2	65.0	70.79	71.0	70	0.93	0.93	1.01	1.01
SRS881191	chr02_Bt22	66.27	65.0	70.79	71.0	70	0.95	0.93	1.01	1.01
SRS881191	chr03_Bt22	74.47	75.0	70.79	71.0	70	1.06	1.07	1.01	1.01
SRS881191	chr04_Bt22	74.46	74.0	70.79	71.0	70	1.06	1.06	1.01	1.01
SRS881191	chr05_Bt22	67.89	68.0	70.79	71.0	70	0.97	0.97	1.01	1.01
SRS881191	chr06_Bt22	70.16	70.0	70.79	71.0	70	1.0	1.0	1.01	1.01
SRS881191	chr07_Bt22	73.08	72.0	70.79	71.0	70	1.04	1.03	1.01	1.01
SRS881191	chr08_Bt22	72.94	73.0	70.79	71.0	70	1.04	1.04	1.01	1.01
SRS881191	chr09_Bt22	72.48	73.0	70.79	71.0	70	1.04	1.04	1.01	1.01
SRS881191	chr10_Bt22	75.11	75.0	70.79	71.0	70	1.07	1.07	1.01	1.01
SRS881191	chr11_Bt22	67.6	67.0	70.79	71.0	70	0.97	0.96	1.01	1.01
SRS881191	chr12_Bt22	76.86	78.0	70.79	71.0	70	1.1	1.11	1.01	1.01
SRS881191	chr13_Bt22	75.67	76.0	70.79	71.0	70	1.08	1.09	1.01	1.01
SRS881191	chr14_Bt22	74.77	75.0	70.79	71.0	70	1.07	1.07	1.01	1.01
SRS417600	CP003820.1	107.35	107.0	110.53	109.0	110	0.98	0.97	1.0	0.99
SRS417600	CP003821.1	125.13	107.0	110.53	109.0	110	1.14	0.97	1.0	0.99
SRS417600	CP003822.1	108.23	109.0	110.53	109.0	110	0.98	0.99	1.0	0.99
SRS417600	CP003823.1	109.68	111.0	110.53	109.0	110	1.0	1.01	1.0	0.99
SRS417600	CP003824.1	107.99	109.0	110.53	109.0	110	0.98	0.99	1.0	0.99
SRS417600	CP003825.1	109.88	111.0	110.53	109.0	110	1.0	1.01	1.0	0.99
SRS417600	CP003826.1	109.51	110.0	110.53	109.0	110	1.0	1.0	1.0	0.99
SRS417600	CP003827.1	109.19	110.0	110.53	109.0	110	0.99	1.0	1.0	0.99
SRS417600	CP003828.1	110.03	110.0	110.53	109.0	110	1.0	1.0	1.0	0.99
SRS417600	CP003829.1	110.31	111.0	110.53	109.0	110	1.0	1.01	1.0	0.99
SRS417600	CP003830.1	107.08	108.0	110.53	109.0	110	0.97	0.98	1.0	0.99
SRS417600	CP003831.1	116.11	112.0	110.53	109.0	110	1.06	1.02	1.0	0.99
SRS417600	CP003832.1	110.28	112.0	110.53	109.0	110	1.0	1.02	1.0	0.99
SRS417600	CP003833.2	109.38	111.0	110.53	109.0	110	0.99	1.01	1.0	0.99
SRS881193	chr01_Bt22	56.91	56.0	63.55	63.0	62	0.92	0.9	1.02	1.02
SRS881193	chr02_Bt22	55.7	55.0	63.55	63.0	62	0.9	0.89	1.02	1.02
SRS881193	chr03_Bt22	70.7	70.0	63.55	63.0	62	1.14	1.13	1.02	1.02
SRS881193	chr04_Bt22	67.14	66.0	63.55	63.0	62	1.08	1.06	1.02	1.02
SRS881193	chr05_Bt22	60.82	60.0	63.55	63.0	62	0.98	0.97	1.02	1.02
SRS881193	chr06_Bt22	62.62	62.0	63.55	63.0	62	1.01	1.0	1.02	1.02
SRS881193	chr07_Bt22	65.34	65.0	63.55	63.0	62	1.05	1.05	1.02	1.02
SRS881193	chr08_Bt22	63.99	63.0	63.55	63.0	62	1.03	1.02	1.02	1.02
SRS881193	chr09_Bt22	65.97	66.0	63.55	63.0	62	1.06	1.06	1.02	1.02
SRS881193	chr10_Bt22	68.12	67.0	63.55	63.0	62	1.1	1.08	1.02	1.02
SRS881193	chr11_Bt22	59.51	58.0	63.55	63.0	62	0.96	0.94	1.02	1.02
SRS881193	chr12_Bt22	73.12	73.0	63.55	63.0	62	1.18	1.18	1.02	1.02
SRS881193	chr13_Bt22	70.23	70.0	63.55	63.0	62	1.13	1.13	1.02	1.02
SRS881193	chr14_Bt22	71.49	71.0	63.55	63.0	62	1.15	1.15	1.02	1.02
SRS881181	chr01_Bt22	56.79	54.0	62.26	61.0	60	0.95	0.9	1.04	1.02
SRS881181	chr02_Bt22	56.67	54.0	62.26	61.0	60	0.94	0.9	1.04	1.02
SRS881181	chr03_Bt22	66.32	65.0	62.26	61.0	60	1.11	1.08	1.04	1.02
SRS881181	chr04_Bt22	67.31	66.0	62.26	61.0	60	1.12	1.1	1.04	1.02
SRS881181	chr05_Bt22	58.01	57.0	62.26	61.0	60	0.97	0.95	1.04	1.02
SRS881181	chr06_Bt22	63.23	62.0	62.26	61.0	60	1.05	1.03	1.04	1.02
SRS881181	chr07_Bt22	63.84	63.0	62.26	61.0	60	1.06	1.05	1.04	1.02
SRS881181	chr08_Bt22	63.12	62.0	62.26	61.0	60	1.05	1.03	1.04	1.02
SRS881181	chr09_Bt22	65.24	64.0	62.26	61.0	60	1.09	1.07	1.04	1.02
SRS881181	chr10_Bt22	67.18	66.0	62.26	61.0	60	1.12	1.1	1.04	1.02
SRS881181	chr11_Bt22	57.05	55.0	62.26	61.0	60	0.95	0.92	1.04	1.02
SRS881181	chr12_Bt22	69.45	68.0	62.26	61.0	60	1.16	1.13	1.04	1.02
SRS881181	chr13_Bt22	69.91	68.0	62.26	61.0	60	1.17	1.13	1.04	1.02
SRS881181	chr14_Bt22	67.86	66.0	62.26	61.0	60	1.13	1.1	1.04	1.02
SRS404778	CP097924.1	127.87	129.0	138.44	140.0	139	0.92	0.93	1.0	1.01
SRS404778	CP097925.1	129.05	130.0	138.44	140.0	139	0.93	0.94	1.0	1.01
SRS404778	CP097926.1	144.81	147.0	138.44	140.0	139	1.04	1.06	1.0	1.01
SRS404778	CP097927.1	147.08	146.0	138.44	140.0	139	1.06	1.05	1.0	1.01
SRS404778	CP097928.1	133.46	134.0	138.44	140.0	139	0.96	0.96	1.0	1.01
SRS404778	CP097929.1	142.18	142.0	138.44	140.0	139	1.02	1.02	1.0	1.01
SRS404778	CP097930.1	143.26	142.0	138.44	140.0	139	1.03	1.02	1.0	1.01
SRS404778	CP097931.1	142.6	144.0	138.44	140.0	139	1.03	1.04	1.0	1.01
SRS404778	CP097932.1	142.3	145.0	138.44	140.0	139	1.02	1.04	1.0	1.01
SRS404778	CP097933.1	144.12	145.0	138.44	140.0	139	1.04	1.04	1.0	1.01
SRS404778	CP097934.1	132.58	133.0	138.44	140.0	139	0.95	0.96	1.0	1.01
SRS404778	CP097935.1	147.06	151.0	138.44	140.0	139	1.06	1.09	1.0	1.01
SRS404778	CP097936.1	145.16	148.0	138.44	140.0	139	1.04	1.06	1.0	1.01
SRS404778	CP097937.1	142.34	147.0	138.44	140.0	139	1.02	1.06	1.0	1.01
SRS405118	CP003820.1	98.68	99.0	102.28	101.0	102	0.97	0.97	1.0	0.99
SRS405118	CP003821.1	115.49	98.0	102.28	101.0	102	1.13	0.96	1.0	0.99
SRS405118	CP003822.1	100.31	101.0	102.28	101.0	102	0.98	0.99	1.0	0.99
SRS405118	CP003823.1	101.24	103.0	102.28	101.0	102	0.99	1.01	1.0	0.99
SRS405118	CP003824.1	99.37	100.0	102.28	101.0	102	0.97	0.98	1.0	0.99
SRS405118	CP003825.1	99.82	101.0	102.28	101.0	102	0.98	0.99	1.0	0.99
SRS405118	CP003826.1	101.61	102.0	102.28	101.0	102	1.0	1.0	1.0	0.99
SRS405118	CP003827.1	100.81	102.0	102.28	101.0	102	0.99	1.0	1.0	0.99
SRS405118	CP003828.1	103.18	102.0	102.28	101.0	102	1.01	1.0	1.0	0.99
SRS405118	CP003829.1	102.14	103.0	102.28	101.0	102	1.0	1.01	1.0	0.99
SRS405118	CP003830.1	99.99	100.0	102.28	101.0	102	0.98	0.98	1.0	0.99
SRS405118	CP003831.1	107.85	104.0	102.28	101.0	102	1.06	1.02	1.0	0.99
SRS405118	CP003832.1	103.6	104.0	102.28	101.0	102	1.02	1.02	1.0	0.99
SRS405118	CP003833.2	102.62	103.0	102.28	101.0	102	1.01	1.01	1.0	0.99
SRS881232	chr01_Bt22	141.29	138.0	164.71	167.0	172	0.82	0.8	0.96	0.97
SRS881232	chr02_Bt22	139.13	137.0	164.71	167.0	172	0.81	0.8	0.96	0.97
SRS881232	chr03_Bt22	185.99	185.0	164.71	167.0	172	1.08	1.08	0.96	0.97
SRS881232	chr04_Bt22	180.49	179.0	164.71	167.0	172	1.05	1.04	0.96	0.97
SRS881232	chr05_Bt22	152.09	151.0	164.71	167.0	172	0.88	0.88	0.96	0.97
SRS881232	chr06_Bt22	169.1	169.0	164.71	167.0	172	0.98	0.98	0.96	0.97
SRS881232	chr07_Bt22	172.41	171.0	164.71	167.0	172	1.0	0.99	0.96	0.97
SRS881232	chr08_Bt22	173.35	172.0	164.71	167.0	172	1.01	1.0	0.96	0.97
SRS881232	chr09_Bt22	171.61	173.0	164.71	167.0	172	1.0	1.01	0.96	0.97
SRS881232	chr10_Bt22	181.28	181.0	164.71	167.0	172	1.05	1.05	0.96	0.97
SRS881232	chr11_Bt22	151.78	149.0	164.71	167.0	172	0.88	0.87	0.96	0.97
SRS881232	chr12_Bt22	188.13	188.0	164.71	167.0	172	1.09	1.09	0.96	0.97
SRS881232	chr13_Bt22	178.48	180.0	164.71	167.0	172	1.04	1.05	0.96	0.97
SRS881232	chr14_Bt22	187.06	188.0	164.71	167.0	172	1.09	1.09	0.96	0.97
SRS881160	CP003820.1	49.36	48.0	53.69	51.0	50	0.99	0.96	1.07	1.02
SRS881160	CP003821.1	59.98	49.0	53.69	51.0	50	1.2	0.98	1.07	1.02
SRS881160	CP003822.1	51.45	51.0	53.69	51.0	50	1.03	1.02	1.07	1.02
SRS881160	CP003823.1	54.11	53.0	53.69	51.0	50	1.08	1.06	1.07	1.02
SRS881160	CP003824.1	55.35	51.0	53.69	51.0	50	1.11	1.02	1.07	1.02
SRS881160	CP003825.1	52.77	52.0	53.69	51.0	50	1.06	1.04	1.07	1.02
SRS881160	CP003826.1	51.51	51.0	53.69	51.0	50	1.03	1.02	1.07	1.02
SRS881160	CP003827.1	52.7	52.0	53.69	51.0	50	1.05	1.04	1.07	1.02
SRS881160	CP003828.1	54.59	53.0	53.69	51.0	50	1.09	1.06	1.07	1.02
SRS881160	CP003829.1	54.82	53.0	53.69	51.0	50	1.1	1.06	1.07	1.02
SRS881160	CP003830.1	51.5	50.0	53.69	51.0	50	1.03	1.0	1.07	1.02
