sample,name,mating_type,country_of_origin_x,isolation_source,broad_project,sra_accession_x,strain_description,in_gwas,phenotyped,source_x,dataset,species_id_from_mash_anlaysis_x,study_x,hiv_status_x,continent_of_origin_x,year_of_origin_x,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_x,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_x,source_y,vni_subdivision,lab_id,species_id_from_mash_anlaysis_y,study_y,hiv_status_y,sra_accession_y,country_of_origin_y,continent_of_origin_y,year_of_origin_y,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_y,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_y,strain,lineage
SRS885171,NRHc5008.ENR,a,Botswana,Clinical,G84318,"SRR1931697, SRR1944807, SRR1944811",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5008.ENR,VNBII
SRS881162,NRHc5039.ENR.STOR,α,Botswana,Clinical,G84352,"SRR1925904, SRR1925991, SRR1926023",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5039.ENR.STOR,VNBI
SRS881205,Muc387-2,α,Botswana,Mopane tree,G84252,"SRR1925985, SRR1944718, SRR1944724",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc387-2,VNBII
SRS881235,Ftc209-3,a,Botswana,Mopane tree,G84230,"SRR1926045, SRR1943107, SRR1944826",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc209-3,VNBI
SRS885915,Ftc211-1,α,Botswana,Mopane tree,G84231,"SRR1943061, SRR1943069, SRR1947210",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc211-1,VNBI
SRS881216,PMHc1024.ENR,a,Botswana,Clinical,G84291,"SRR1926008, SRR1944740, SRR1944825",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1024.ENR,VNBII
SRS881189,NRHc5014.ENR,a,Botswana,Clinical,G84326,"SRR1925974, SRR1925999, SRR1944768",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5014.ENR,VNBII
SRS885892,PMHc1001.ENR,α,Botswana,Clinical,G84275,"SRR1943011, SRR1943013, SRR1947257",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1001.ENR,VNBI
SRS881204,Gbc42-1,α,Botswana,Acacia tree,G84362,"SRR1925987, SRR1943064, SRR1944758",Chen et. al 2015 Mol. Ecol.,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIc,SRR1925987,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR1925987,Botswana,Africa,,23.4978,0.965812161,Gbc42-1,VNI
SRS881188,Muc504-1,α,Botswana,Mopane tree,G84269,"SRR1925937, SRR1926030, SRR1944766",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc504-1,VNBI
SRS885884,PMHc1040.ENR.STOR,α,Botswana,Clinical,G84304,"SRR1942988, SRR1944842, SRR1944852",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-outlier,SRR1942988,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1942988,Botswana,Africa,,23.4824,0.966656679,PMHc1040.ENR.STOR,VNI
SRS881236,NRHc5041.ENR.STOR,α,Botswana,Clinical,G84354,"SRR1926040, SRR1943117, SRR1944780",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5041.ENR.STOR,VNBI
SRS881228,NRHc5024.ENR.CLIN.1,α,Botswana,Clinical,G84336,"SRR1926029, SRR1943126, SRR1944720",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5024.ENR.CLIN.1,VNBI
SRS885843,PMHc1032.ENR,α,Botswana,Clinical,G84297,"SRR1942909, SRR1942994, SRR1944817",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR1942909,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1942909,Botswana,Africa,,19.3449,0.964132587,PMHc1032.ENR,VNI
SRS881227,Muc437-1,α,Botswana,Mopane tree,G84256,"SRR1926086, SRR1943063, SRR1944729",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc437-1,VNBI
SRS881214,Muc416-4,α,Botswana,Mopane tree,G84254,"SRR1925995, SRR1926021, SRR1931715",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc416-4,VNBI
SRS885170,Gbc16-1,α,Botswana,decayed tree ,G84359,"SRR1931695, SRR1931700, SRR1944684",Chen et. al 2015 Mol. Ecol.,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIc,SRR1931695,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR1931695,Botswana,Africa,,22.3119,0.964638716,Gbc16-1,VNI
SRS881222,Ftc146-1,α,Botswana,Mopane tree,G84215,"SRR1926085, SRR1943160, SRR1944815",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc146-1,VNBI
SRS881183,Muc451-1,α,Botswana,Mopane tree,G84258,"SRR1925926, SRR1926016, SRR1944806",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc451-1,VNBI
SRS885854,Ftc167-1,α,Botswana,Mopane tree,G84220,"SRR1942923, SRR1942933, SRR1944840",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc167-1,VNBI
SRS881246,Gbc95-1,α,Botswana,unknown tree,G84365,"SRR1926059, SRR1943113, SRR1944733",Chen et. al 2015 Mol. Ecol.,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIc,SRR1926059,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR1926059,Botswana,Africa,,20.4182,0.961664955,Gbc95-1,VNI
SRS881210,PMHc1002.ENR,α,Botswana,Clinical,G84276,"SRR1925994, SRR1926084, SRR1943001",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1002.ENR,VNBII
SRS881217,Ftc241-1,a,Botswana,Mopane tree,G84240,"SRR1926010, SRR1931694, SRR1944712, SRR1944854",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc241-1,VNBI
SRS881170,NRHc5036.ENR,α,Botswana,Clinical,G84349,"SRR1925911, SRR1943118, SRR1944722",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-Y,SRR1925911,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1925911,Botswana,Africa,,20.816,0.95879925,NRHc5036.ENR,VNI
SRS881226,PMHc1009.ENR,α,Botswana,Clinical,G84277,"SRR1926011, SRR1926036, SRR1944775",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1009.ENR,VNBII
SRS881160,NRHc5001.ENR,α,Botswana,Clinical,G84314,"SRR1925902, SRR1942906, SRR1944742",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR1925902,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1925902,Botswana,Africa,,20.9129,0.961424155,NRHc5001.ENR,VNI
SRS885880,NRHc5042.ENR.STOR,α,Botswana,Clinical,G84355,"SRR1942973, SRR1944813, SRR1944844",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5042.ENR.STOR,VNBI
SRS885192,Ftc225-3,a,Botswana,Mopane tree,G84236,"SRR1931725, SRR1944699, SRR1944866",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc225-3,VNBI
SRS881174,Ftc321-1,α,Botswana,Mopane tree,G84245,"SRR1925917, SRR1943015, SRR1944716",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc321-1,VNBI
SRS881200,Gbc98-1,α,Botswana,unknown tree,G84366,"SRR1925975, SRR1926035, SRR1943089",Chen et. al 2015 Mol. Ecol.,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIc,SRR1925975,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR1925975,Botswana,Africa,,23.7402,0.96496796,Gbc98-1,VNI
SRS881234,Ftc109-1,α,Botswana,Mopane tree,G84369,"SRR1926026, SRR1942912, SRR1943073",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc109-1,VNBI
SRS881148,NRHc5013.REL.INI,a,Botswana,Clinical,G84325,"SRR1925888, SRR1943062, SRR1944794",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5013.REL.INI,VNBI
SRS881207,NRHc5011.ENR,α,Botswana,Clinical,G84322,"SRR1926082, SRR1942886, SRR1943128",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5011.ENR,VNBI
SRS885188,NRHc5022.ENR,α,Botswana,Clinical,G84334,"SRR1931722, SRR1944685, SRR1944702",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5022.ENR,VNBI
SRS881229,Ftc321-2,α,Botswana,Mopane tree,G84246,"SRR1926031, SRR1944790, SRR1944829",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc321-2,VNBI
SRS881206,Ftc327-1,α,Botswana,Mopane tree,G84248,"SRR1926081, SRR1944725, SRR1944732",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc327-1,VNBI
SRS881166,NRHc5032.ENR.CLIN.ISO,α,Botswana,Clinical,G84345,"SRR1925908, SRR1926015, SRR1942891",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5032.ENR.CLIN.ISO,VNBI
SRS881219,Ftc151-1,a,Botswana,Mopane tree,G84216,"SRR1926005, SRR1944770, SRR1944788",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc151-1,VNBI
SRS885853,Muc418-1,α,Botswana,Mopane tree,G84255,"SRR1942918, SRR1942928, SRR1944745",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc418-1,VNBI
SRS881172,NRHc5026.ENR.CLIN.ISO,α,Botswana,Clinical,G84339,"SRR1925914, SRR1926012, SRR1942996",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5026.ENR.CLIN.ISO,VNBI
SRS885863,Ftc222-2,α,Botswana,Mopane tree,G84234,"SRR1942945, SRR1944824, SRR1944827",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc222-2,VNBI
SRS881245,Ftc134-3,α,Botswana,Mopane tree,G84213,"SRR1926061, SRR1943220, SRR1944761, SRR1944776",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc134-3,VNBI
SRS885916,PMHc1031A.ENR.INI.LP,α,Botswana,Clinical,G84296,"SRR1943071, SRR1947256, SRR1947259",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR1943071,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1943071,Botswana,Africa,,23.2093,0.965675452,PMHc1031A.ENR.INI.LP,VNI
SRS881196,PMHc1020.CLIN.1,α,Botswana,Clinical,G84288,"SRR1925952, SRR1944762, SRR1944782",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR1925952,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1925952,Botswana,Africa,,26.6405,0.964076074,PMHc1020.CLIN.1,VNI
SRS885875,NRHc5013.ENR,a,Botswana,Clinical,G84324,"SRR1942968, SRR1944849, SRR1944851",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5013.ENR,VNBI
SRS881140,NRHc5030.ENR.CLIN.ISO,a,Botswana,Clinical,G84343,"SRR1925880, SRR1942898, SRR1944802",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5030.ENR.CLIN.ISO,VNBI
SRS881177,Ftc200-1,α,Botswana,Mopane tree,G84226,"SRR1925925, SRR1925997, SRR1943114",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc200-1,VNBI
SRS881237,NRHc5025.ENR.CLIN.1,α,Botswana,Clinical,G84338,"SRR1926039, SRR1942899, SRR1942922",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-5,SRR1926039,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1926039,Botswana,Africa,,17.5892,0.960973481,NRHc5025.ENR.CLIN.1,VNI
SRS881151,NRHc5029.ENR.CLIN.ISO,α,Botswana,Clinical,G84342,"SRR1925891, SRR1943068, SRR1943130",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5029.ENR.CLIN.ISO,VNBI
SRS885874,Gbc39-2,α,Botswana,Acacia tree,G84361,"SRR1942967, SRR1942992, SRR1944841",Chen et. al 2015 Mol. Ecol.,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIc,SRR1942967,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR1942967,Botswana,Africa,,22.291,0.960751078,Gbc39-2,VNI
SRS881225,NRHc5031.ENR.CLIN.ISO,α,Botswana,Clinical,G84344,"SRR1926020, SRR1943159, SRR1944756",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5031.ENR.CLIN.ISO,VNBII
SRS881240,NRHc5021.ENR,a,Botswana,Clinical,G84333,"SRR1926047, SRR1931726, SRR1944705",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5021.ENR,VNBI
SRS881215,Ftc207-1,a,Botswana,Mopane tree,G84228,"SRR1926006, SRR1926022, SRR1944707",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc207-1,VNBI
SRS881199,Ftc102-1,a,Botswana,Mopane tree,G84367,"SRR1925977, SRR1926007, SRR1943116",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc102-1,VNBI
SRS881194,Muc457-1,α,Botswana,Mopane tree,G84259,"SRR1925976, SRR1926078, SRR1944796",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc457-1,VNBI
SRS881241,PMHc1022.ENR,α,Botswana,Clinical,G84289,"SRR1926056, SRR1944781, SRR1944787",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR1926056,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1926056,Botswana,Africa,,25.7651,0.965353345,PMHc1022.ENR,VNI
SRS881159,PMHc1033.ENR,α,Botswana,Clinical,G84298,"SRR1925899, SRR1944786, SRR1944791",Chen et. al 2015 Mol. Ecol.,Yes,No,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1033.ENR,VNBII
SRS885191,Muc460-3,α,Botswana,Mopane tree,G84261,"SRR1931716, SRR1944687, SRR1944701",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc460-3,VNBI
SRS881221,Ftc555-2,α,Botswana,Mopane tree,G84273,"SRR1926087, SRR1926088, SRR1944804",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc555-2,VNBI
SRS881212,PMHc1023.ENR,α,Botswana,Clinical,G84290,"SRR1926004, SRR1926050, SRR1944812",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1023.ENR,VNII
SRS885841,NRHc5009.REL.INI,α,Botswana,Clinical,G84320,"SRR1942901, SRR1942919, SRR1944818",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5009.REL.INI,VNBI
SRS881147,Ftc209-1,α,Botswana,Mopane tree,G84229,"SRR1925889, SRR1942904, SRR1944833",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc209-1,VNBI
SRS881220,Gbc51-2,α,Botswana,Acacia tree,G84364,"SRR1926013, SRR1931724, SRR1944795",Chen et. al 2015 Mol. Ecol.,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIc,SRR1926013,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR1926013,Botswana,Africa,,24.365,0.963989323,Gbc51-2,VNI
SRS881218,Ftc195-1,α,Botswana,Mopane tree,G84225,"SRR1926017, SRR1926058, SRR1926083, SRR1942941",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc195-1,VNBI
SRS881224,Ftc236-1,α,Botswana,Mopane tree,G84237,"SRR1926019, SRR1944726, SRR1944779",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc236-1,VNBI
SRS885894,Muc498-2,a,Botswana,Mopane tree,G84267,"SRR1943023, SRR1947215, SRR1947216",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc498-2,VNBI
SRS885816,Ftc225-1,α,Botswana,Mopane tree,G84235,"SRR1942884, SRR1944748, SRR1944850",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc225-1,VNBI
SRS881211,PMHc1050.ENR.CLIN1,α,Botswana,Clinical,G84312,"SRR1926002, SRR1943129, SRR1944750",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1050.ENR.CLIN1,VNBI
SRS881198,Ftc153-1,a,Botswana,Mopane tree,G84217,"SRR1925978, SRR1931705, SRR1943090",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc153-1,VNBI
SRS885879,NRHc5015.REL.CLIN.ISO,α,Botswana,Clinical,G84328,"SRR1942971, SRR1944855, SRR1944865",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR1942971,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1942971,Botswana,Africa,,22.7402,0.964570785,NRHc5015.REL.CLIN.ISO,VNI
SRS881157,NRHc5035.ENR.CLIN.ISO,α,Botswana,Clinical,G84348,"SRR1925903, SRR1943007, SRR1944760",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5035.ENR.CLIN.ISO,VNBI
SRS885857,Ftc192-1,a,Botswana,Mopane tree,G84224,"SRR1942932, SRR1944767, SRR1944853",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc192-1,VNBI
SRS881193,Muc489-1,α,Botswana,Mopane tree,G84266,"SRR1925954, SRR1926003, SRR1944753",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc489-1,VNBI
SRS881233,Muc402-1,α,Botswana,Mopane tree,G84253,"SRR1926037, SRR1942947, SRR1944731",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc402-1,VNBI
SRS881142,NRHc5017.ENR,α,Botswana,Clinical,G84329,"SRR1925881, SRR1926054, SRR1943072",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIc,SRR1925881,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1925881,Botswana,Africa,,20.3097,0.961298812,NRHc5017.ENR,VNI
