sample,lineage,strain,name,Species ID from mash anlaysis,VNI_subdivision,source,Study,HIV status,SRA_Accession,Country_of_origin,Continent of Origin,Year of Origin,Mean depth of mapping with MQ > 30 across whole genome,Proportion of genome covered by at least 5 reads which mapped with MQ > 30
ERS2541150,VNI,04CN-03-058,04CN-03-058,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624388,Vietnam,Asia,2013.0,70.88094796,0.992168996
ERS2541259,VNI,04CN-03-059,04CN-03-059,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624445,Vietnam,Asia,2013.0,40.97957641,0.984918581
ERS2541148,VNI,04CN-03-061,04CN-03-061,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624187,Vietnam,Asia,2013.0,31.21851362,0.984587051
ERS2541196,VNI,04CN-03-062,04CN-03-062,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624411,Vietnam,Asia,2014.0,31.22508351,0.987013472
ERS2541234,VNI,04CN-03-063,04CN-03-063,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624489,Vietnam,Asia,2014.0,45.38857747,0.989800538
ERS2541225,VNI,04CN-03-064,04CN-03-064,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624283,Vietnam,Asia,2014.0,34.9817931,0.985055735
ERS2541204,VNI,04CN-03-067,04CN-03-067,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624488,Vietnam,Asia,2014.0,31.4653128,0.985604456
ERS2541094,VNI,04CN-03-068,04CN-03-068,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624333,Vietnam,Asia,2014.0,32.66077034,0.984219843
ERS2541229,VNI,04CN-03-069,04CN-03-069,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624125,Vietnam,Asia,2014.0,32.62862393,0.988640474
ERS2541147,VNI,04CN-03-072,04CN-03-072,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624091,Vietnam,Asia,2014.0,57.74302978,0.98803416
ERS2541211,VNI,04CN-03-073,04CN-03-073,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624155,Vietnam,Asia,2014.0,40.7932561,0.990775596
ERS2541170,VNI,04CN-03-074,04CN-03-074,Cryptococcus neoformans var. grubii H99,VNII,Clinical,Ashton,positive,ERR2624467,Vietnam,Asia,2014.0,43.47226493,0.965881774
ERS2541288,VNI,04CN-03-075,04CN-03-075,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624459,Vietnam,Asia,2014.0,37.08169743,0.984840608
ERS2541194,VNI,04CN-03-076,04CN-03-076,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624199,Vietnam,Asia,2014.0,41.94446026,0.990612398
ERS2541181,VNI,04CN-03-077,04CN-03-077,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624464,Vietnam,Asia,2014.0,41.61587349,0.988232135
ERS2541266,VNI,04CN-03-078,04CN-03-078,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624305,Vietnam,Asia,2014.0,45.50812132,0.986898763
ERS2541251,VNI,04CN-03-081,04CN-03-081,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624110,Vietnam,Asia,2014.0,35.56913907,0.987966721
ERS2541146,VNI,04CN-03-082,04CN-03-082,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624412,Vietnam,Asia,2014.0,46.97325267,0.986389901
ERS2541180,VNI,04CN-03-084,04CN-03-084,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624241,Vietnam,Asia,2014.0,42.79088266,0.985394093
ERS2541190,VNI,04CN-03-085,04CN-03-085,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624248,Vietnam,Asia,2014.0,33.45177867,0.985228514
ERS2541120,VNI,04CN-03-086,04CN-03-086,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624460,Vietnam,Asia,2014.0,55.8373594,0.985965524
ERS2541093,VNI,04CN-03-087,04CN-03-087,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624435,Vietnam,Asia,2014.0,41.61070241,0.986333314
ERS2541130,VNI,04CN-03-088,04CN-03-088,Cryptococcus neoformans var. grubii H99,VNII,Clinical,Ashton,positive,ERR2624180,Vietnam,Asia,2014.0,45.05761537,0.96687954
ERS2541142,VNI,04CN-03-089,04CN-03-089,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624234,Vietnam,Asia,2014.0,39.10725003,0.989095342
ERS2541205,VNI,04CN-03-090,04CN-03-090,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624389,Vietnam,Asia,2014.0,38.39483864,0.990798993
ERS2541085,VNI,04CN-03-091,04CN-03-091,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624378,Vietnam,Asia,2014.0,38.99763636,0.989543381
ERS2541250,VNI,04CN-03-092,04CN-03-092,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624143,Vietnam,Asia,2014.0,32.51205951,0.985441047
ERS2541248,VNI,04CN-03-093,04CN-03-093,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624129,Vietnam,Asia,2014.0,54.43812432,0.986861709
ERS2541271,VNI,04CN-03-094,04CN-03-094,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624303,Vietnam,Asia,2014.0,50.27276017,0.990088768
ERS2541104,VNI,04CN-03-095,04CN-03-095,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624179,Vietnam,Asia,2014.0,40.38017498,0.985184578
ERS2541177,VNI,04CN-03-098,04CN-03-098,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624160,Vietnam,Asia,2014.0,45.90296039,0.98396168
ERS2541232,VNI,04CN-03-099,04CN-03-099,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624332,Vietnam,Asia,2014.0,44.24136681,0.990183627
ERS2541160,VNI,04CN-03-100,04CN-03-100,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624094,Vietnam,Asia,2014.0,39.19760695,0.984078242
ERS2541113,VNI,04CN-03-101,04CN-03-101,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624117,Vietnam,Asia,2014.0,47.27284936,0.98879102
ERS2541084,VNI,04CN-03-102,04CN-03-102,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624128,Vietnam,Asia,2014.0,54.09783162,0.990735471
ERS2541289,VNI,04CN-11-001,04CN-11-001,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624366,Vietnam,Asia,2013.0,59.69169549,0.98670788
ERS2541268,VNI,04CN-11-003,04CN-11-003,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624431,Vietnam,Asia,2013.0,53.67010411,0.986506199
ERS2541236,VNI,04CN-11-004,04CN-11-004,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624197,Vietnam,Asia,2013.0,38.15415056,0.990258582
ERS2541108,VNI,04CN-11-005,04CN-11-005,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624475,Vietnam,Asia,2013.0,35.54479603,0.985217927
ERS2541213,VNI,04CN-11-006,04CN-11-006,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624420,Vietnam,Asia,2013.0,45.50656563,0.986603334
ERS2541163,VNI,04CN-11-007,04CN-11-007,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624255,Vietnam,Asia,2013.0,56.34947253,0.987861169
ERS2541186,VNI,04CN-11-008,04CN-11-008,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624330,Vietnam,Asia,2013.0,39.36795728,0.985461532
ERS2541238,VNI,04CN-11-009,04CN-11-009,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624363,Vietnam,Asia,2013.0,53.51816664,0.991265877
ERS2541219,VNI,04CN-11-010,04CN-11-010,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624376,Vietnam,Asia,2013.0,44.74559039,0.987411118
ERS2541286,VNI,04CN-11-011,04CN-11-011,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624153,Vietnam,Asia,2013.0,55.78406816,0.987104573
ERS2541141,VNI,04CN-11-012,04CN-11-012,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624206,Vietnam,Asia,2013.0,44.34455871,0.984082583
ERS2541140,VNI,04CN-11-013,04CN-11-013,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624149,Vietnam,Asia,2014.0,44.2607406,0.987225211
ERS2541135,VNI,04CN-11-014,04CN-11-014,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624392,Vietnam,Asia,2014.0,36.55891505,0.985126403
ERS2541166,VNI,04CN-11-015,04CN-11-015,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624101,Vietnam,Asia,2014.0,43.90512801,0.986415204
ERS2541241,VNI,04CN-11-018,04CN-11-018,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624144,Vietnam,Asia,2014.0,45.68129646,0.984649778
ERS2541221,VNI,04CN-11-019,04CN-11-019,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624375,Vietnam,Asia,2014.0,43.58172001,0.984416654
ERS2541124,VNI,04CN-11-020,04CN-11-020,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624290,Vietnam,Asia,2014.0,30.53158332,0.988634863
ERS2541083,VNI,04CN-11-021,04CN-11-021,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624338,Vietnam,Asia,2014.0,52.27438098,0.991571575
ERS2541215,VNI,04CN-11-022,04CN-11-022,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624312,Vietnam,Asia,2014.0,31.28063199,0.98991673
ERS2541280,VNI,04CN-20-004,04CN-20-004,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624461,Vietnam,Asia,2013.0,32.82608107,0.985119627
ERS2541182,VNI,04CN-20-006,04CN-20-006,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624322,Vietnam,Asia,2014.0,36.61624107,0.989797415
ERS2541222,VNI,04CN-30-001,04CN-30-001,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624116,Laos,Asia,2013.0,39.98751042,0.983399143
ERS2541332,VNI,04CN-30-002,04CN-30-002,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624175,Laos,Asia,2013.0,34.77961958,0.985013969
ERS2541107,VNI,04CN-30-008,04CN-30-008,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624496,Laos,Asia,2013.0,43.22512099,0.986678184
ERS2541167,VNI,04CN-30-016,04CN-30-016,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624134,Laos,Asia,2014.0,42.64017048,0.991814704
ERS2541172,VNI,04CN-30-019,04CN-30-019,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624398,Laos,Asia,2014.0,41.64419171,0.991636738
ERS2541060,VNI,04CN-32-001,04CN-32-001,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624168,Thailand,Asia,2013.0,37.4600873,0.985224596
ERS2541016,VNI,04CN-32-004,04CN-32-004,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624346,Thailand,Asia,2013.0,56.46680143,0.986431085
ERS2541307,VNI,04CN-32-005,04CN-32-005,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624201,Thailand,Asia,2013.0,45.82302573,0.984643003
ERS2541312,VNI,04CN-32-011,04CN-32-011,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624178,Thailand,Asia,2013.0,37.21698111,0.983743007
ERS2540948,VNI,04CN-32-019,04CN-32-019,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624439,Thailand,Asia,2013.0,48.00544921,0.985636164
ERS2540967,VNI,04CN-32-020,04CN-32-020,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624479,Thailand,Asia,2013.0,34.80785951,0.983192433
ERS2541314,VNI,04CN-32-025,04CN-32-025,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624359,Thailand,Asia,2013.0,37.49292488,0.9826408
ERS2540937,VNI,04CN-32-031,04CN-32-031,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624449,Thailand,Asia,2013.0,67.53917135,0.986325744
ERS2540954,VNI,04CN-32-040,04CN-32-040,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624326,Thailand,Asia,2013.0,36.97848913,0.985069074
ERS2541319,VNI,04CN-32-042,04CN-32-042,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624470,Thailand,Asia,2013.0,39.54560376,0.988788426
ERS2541300,VNI,04CN-32-043,04CN-32-043,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624410,Thailand,Asia,2013.0,41.23729481,0.984265525
ERS2541272,VNI,04CN-32-044B,04CN-32-044B,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624269,Thailand,Asia,,37.61234121,0.983794512
ERS2541290,VNI,04CN-32-053,04CN-32-053,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624271,Thailand,Asia,2013.0,44.93831623,0.99043549
ERS2541294,VNI,04CN-32-059,04CN-32-059,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624441,Thailand,Asia,2013.0,34.04109148,0.984945472
ERS2541299,VNI,04CN-32-067,04CN-32-067,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624239,Thailand,Asia,2014.0,37.40424763,0.983562129
ERS2541298,VNI,04CN-32-071,04CN-32-071,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624291,Thailand,Asia,2014.0,35.79867465,0.984826633
ERS2541297,VNI,04CN-32-074,04CN-32-074,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624195,Thailand,Asia,2014.0,35.31572368,0.984460643
ERS2541291,VNI,04CN-32-083,04CN-32-083,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624276,Thailand,Asia,2014.0,31.05704166,0.984318725
ERS2541295,VNI,04CN-32-084,04CN-32-084,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624427,Thailand,Asia,2014.0,34.1119834,0.985921006
ERS2541296,VNI,04CN-32-086,04CN-32-086,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624430,Thailand,Asia,2014.0,31.97087749,0.984135465
ERS2541027,VNI,04CN-32-089,04CN-32-089,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624165,Thailand,Asia,2014.0,50.05658605,0.986136026
ERS2541074,VNI,04CN-32-090,04CN-32-090,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624162,Thailand,Asia,2014.0,35.63041408,0.98372485
ERS2540930,VNI,04CN-32-093,04CN-32-093,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624250,Thailand,Asia,2014.0,31.58182265,0.981833016
ERS2541026,VNI,04CN-32-105,04CN-32-105,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624132,Thailand,Asia,2014.0,29.91011986,0.983568746
ERS2541015,VNI,04CN-32-106,04CN-32-106,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624422,Thailand,Asia,2014.0,34.80631536,0.985439247
ERS2540946,VNI,04CN-33-002,04CN-33-002,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624437,Thailand,Asia,2013.0,46.80560884,0.986224269
ERS2541048,VNI,04CN-33-004,04CN-33-004,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624164,Thailand,Asia,2013.0,35.33893492,0.983367117
ERS2541010,VNI,04CN-33-015,04CN-33-015,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624320,Thailand,Asia,2013.0,37.31945775,0.984504525
ERS2541004,VNI,04CN-33-023,04CN-33-023,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624185,Thailand,Asia,2013.0,62.21918573,0.986975359
ERS2540939,VNI,04CN-33-026,04CN-33-026,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624150,Thailand,Asia,2013.0,47.95240909,0.985075532
ERS2541011,VNI,04CN-33-034,04CN-33-034,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624096,Thailand,Asia,2013.0,45.62317901,0.985455392
ERS2541025,VNI,04CN-33-045,04CN-33-045,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624140,Thailand,Asia,2013.0,47.72252943,0.9846204
ERS2541076,VNI,04CN-33-061,04CN-33-061,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624154,Thailand,Asia,2014.0,34.826041,0.983442179
ERS2540940,VNI,04CN-33-062,04CN-33-062,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624099,Thailand,Asia,2014.0,37.66574398,0.984840767
ERS2540982,VNI,04CN-33-065,04CN-33-065,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624198,Thailand,Asia,2014.0,34.91397674,0.984031342
ERS2540929,VNI,04CN-33-066,04CN-33-066,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624440,Thailand,Asia,2014.0,32.25677976,0.984677834
ERS2540990,VNI,04CN-33-067,04CN-33-067,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624221,Thailand,Asia,2014.0,32.4101173,0.984292416
ERS2540949,VNI,04CN-33-068,04CN-33-068,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624103,Thailand,Asia,2014.0,33.34543112,0.99025223
ERS2540997,VNI,04CN-33-093,04CN-33-093,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624266,Thailand,Asia,2014.0,32.75081674,0.984303215
ERS2540957,VNI,04CN-33-094,04CN-33-094,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624251,Thailand,Asia,2014.0,38.9237704,0.990976113
ERS2540962,VNI,04CN-63-001,04CN-63-001,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624118,Malawi,Africa,2013.0,47.03503897,0.988806107
